case,time_s,rope_speed_m_s,analytic_speed_m_s,speed_error_m_s,acceleration_m_s2,pulley_rim_speed_m_s,left_tension_N,right_tension_N,tension_ratio,capstan_static_upper_ratio,transport_distance_m,equation_11_residual_m2_s2,kinetic_wrap_residual_N,regime
sliding_limited,2.413999999999767,1.7143287585973739,1.7143281958387047,5.627586692202868e-07,0.0006532067417032718,2.24,1.1035515142415586,1.8384292588969449,1.6659206527032389,2.1932800507380152,3.5642782984679573,0.0,-4.440892098500626e-16,sliding
sliding_limited,2.415999999999767,1.7143300601602842,1.7143295014999358,5.58660348426443e-07,0.000647825376621698,2.24,1.1035521196451301,1.838429769147161,1.6659202011576453,2.1932800507380152,3.5677069574186486,0.0,0.0,sliding
sliding_limited,2.4179999999997666,1.714331351000421,1.7143307964090633,5.545913577265082e-07,0.0006424883412503873,2.24,1.1035527200616093,1.838430275194123,1.6659197533322077,2.1932800507380152,3.5711356189606547,0.0,4.440892098500626e-16,sliding
sliding_limited,2.4199999999997663,1.7143326312061151,1.7143320806546223,5.505514928394462e-07,0.0006371952704807851,2.24,1.1035533155320711,1.8384307770724495,1.6659193091962774,2.1932800507380152,3.574564283072629,0.0,-8.881784197001252e-16,sliding
sliding_limited,2.421999999999766,1.7143339008649703,1.7143333543244195,5.465405508164878e-07,0.0006319458022104672,2.24,1.1035539060972515,1.8384312748164753,1.6659188687194608,2.1932800507380152,3.5779929497333987,0.0,0.0,sliding
sliding_limited,2.423999999999766,1.7143351600638668,1.7143346175055385,5.42558328264775e-07,0.0006267395773240942,2.24,1.103554491797551,1.83843176846025,1.665918431871612,2.1932800507380152,3.5814216189219668,0.0,0.0,sliding
sliding_limited,2.4259999999997657,1.7143364088889699,1.7143358702843459,5.386046240118958e-07,0.0006215762396621597,2.24,1.103555072673038,1.8384322580375443,1.6659179986228345,2.1932800507380152,3.584850290617507,0.0,0.0,sliding
sliding_limited,2.4279999999997655,1.7143376474257366,1.7143371127464975,5.346792391058841e-07,0.0006164554359912015,2.24,1.103555648763451,1.8384327435818513,1.6659175689434782,2.1932800507380152,3.5882789647993656,0.0,0.0,sliding
sliding_limited,2.4299999999997652,1.7143388757589189,1.7143383449769436,5.307819752609078e-07,0.0006113768159906178,2.24,1.1035562201082012,1.8384332251263875,1.6659171428041366,2.1932800507380152,3.5917076414470603,0.0,-2.220446049250313e-16,sliding
sliding_limited,2.431999999999765,1.7143400939725708,1.7143395670599353,5.269126355234022e-07,0.0006063400322238551,2.24,1.103556786746375,1.838433702704096,1.6659167201756462,2.1932800507380152,3.595136320540276,0.0,-2.220446049250313e-16,sliding
sliding_limited,2.433999999999765,1.7143413021500546,1.7143407790790302,5.23071024494115e-07,0.0006013447401135044,2.24,1.1035573487167374,1.838434176347649,1.665916301029083,2.1932800507380152,3.5985650020588653,0.0,-4.440892098500626e-16,sliding
sliding_limited,2.4359999999997646,1.714342500374045,1.7143419811170977,5.192569472178832e-07,0.0005963905979237209,2.24,1.1035579060577336,1.8384346460894494,1.6659158853357623,2.1932800507380152,3.6019936859828476,0.0,-2.220446049250313e-16,sliding
sliding_limited,2.4379999999997644,1.7143436887265366,1.7143431732563252,5.154702114040788e-07,0.0005914772667255531,2.24,1.1035584588074934,1.8384351119616338,1.6659154730672348,2.1932800507380152,3.6054223722924057,0.0,0.0,sliding
sliding_limited,2.439999999999764,1.7143448672888486,1.714344355578223,5.117106256502524e-07,0.000586604410385223,2.24,1.1035590070038317,1.8384355739960734,1.6659150641952851,2.1932800507380152,3.608851060967886,0.0,-2.220446049250313e-16,sliding
sliding_limited,2.441999999999764,1.71434603614163,1.714345528163631,5.079779989980437e-07,0.0005817716955353152,2.24,1.1035595506842524,1.8384360322243776,1.6659146586919316,2.1932800507380152,3.6122797519897967,0.0,-2.220446049250313e-16,sliding
sliding_limited,2.4439999999997637,1.7143471953648655,1.714346691092723,5.042721424874941e-07,0.0005769787915557318,2.24,1.1035600898859501,1.838436486677895,1.6659142565294223,2.1932800507380152,3.6157084453388078,0.0,-4.440892098500626e-16,sliding
sliding_limited,2.4459999999997635,1.714348345037882,1.7143478444450129,5.00592869157046e-07,0.0005722253705419513,2.24,1.103560624645814,1.8384369373877174,1.6659138576802346,2.1932800507380152,3.619137140995748,0.0,0.0,sliding
sliding_limited,2.4479999999997633,1.714349485239352,1.7143489882993599,4.969399920451423e-07,0.0005675111072957506,2.24,1.1035611550004294,1.8384373843846786,1.6659134621170708,2.1932800507380152,3.622565838941602,0.0,-4.440892098500626e-16,sliding
sliding_limited,2.449999999999763,1.7143506160472999,1.7143501227339741,4.933133257445377e-07,0.0005628356792959055,2.24,1.1035616809860793,1.83843782769936,1.6659130698128606,2.1932800507380152,3.625994539157513,0.0,-2.220446049250313e-16,sliding
sliding_limited,2.451999999999763,1.7143517375391086,1.714351247826422,4.89712686624344e-07,0.0005581987666723095,2.24,1.1035622026387495,1.8384382673620907,1.6659126807407543,2.1932800507380152,3.6294232416247794,0.0,-2.220446049250313e-16,sliding
sliding_limited,2.4539999999997626,1.7143528497915226,1.7143523636536304,4.861378921638959e-07,0.0005536000521932768,2.24,1.1035627199941285,1.8384387034029503,1.6659122948741254,2.1932800507380152,3.632851946324853,0.0,-6.661338147750939e-16,sliding
sliding_limited,2.4559999999997624,1.714353952880654,1.7143534702918939,4.825887600645729e-07,0.0005490392212391738,2.24,1.1035632330876106,1.8384391358517704,1.665911912186566,2.1932800507380152,3.63628065323934,0.0,0.0,sliding
sliding_limited,2.457999999999762,1.7143550468819893,1.7143545678168781,4.790651111363786e-07,0.0005445159617775132,2.24,1.1035637419543,1.8384395647381369,1.6659115326518845,2.1932800507380152,3.6397093623499965,0.0,0.0,sliding
sliding_limited,2.459999999999762,1.7143561318703926,1.7143556563036264,4.7556676618931704e-07,0.000540029964346352,2.24,1.1035642466290112,1.838439990091393,1.6659111562441071,2.1932800507380152,3.6431380736387284,0.0,4.440892098500626e-16,sliding
sliding_limited,2.4619999999997617,1.7143572079201108,1.7143567358265641,4.7209354669952575e-07,0.00053558092203427,2.24,1.103564747146271,1.8384404119406386,1.6659107829374726,2.1932800507380152,3.6465667870875924,1.0842021724855044e-19,8.881784197001252e-16,sliding
sliding_limited,2.4639999999997615,1.71435827510478,1.714357806459503,4.6864527680767765e-07,0.0005311685304549763,2.24,1.103565243540324,1.838440830314735,1.6659104127064317,2.1932800507380152,3.649995502678793,1.0842021724855044e-19,-1.1102230246251565e-15,sliding
sliding_limited,2.4659999999997613,1.7143593334974294,1.7143588682756483,4.6522178109853485e-07,0.0005267924877277769,2.24,1.1035657358451307,1.838441245242307,1.665910045525648,2.1932800507380152,3.653424220394679,0.0,-4.440892098500626e-16,sliding
